Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Maintainenance of nursery habitats,Species,Overfishing,A,"Overfishing has significant direct and indirect effects on the diversity, structure and productivity of aquatic communities. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through the complex interactions among species in an ecosystem - both positive and negative.",Physical destruction and alteration of the habitat.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats. Dynamite destroys and kills habitats/organisms. Hydraulic dredging damages fauna and kills animals by heat. Seabed trawling creates turbidity, which kills larvae, eliminates coral and destroys nurseries.",Human action,Short-Mid-term,Local-Regional
Maintainenance of nursery habitats,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-Mid-term,Local-Regional
Maintainenance of nursery habitats,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-Mid-term,Local-Regional
Maintainenance of nursery habitats,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-Mid-term,Local-Regional
Maintainenance of nursery habitats,Habitats,Sea level rise,R,"Terrestrial habitats are likely to suffer significant losses over the next 100 years with sea levels expected to rise by 1-2m. This will also have significant impacts on intertidal habitats which may lose up to 90% area coverage in steep coastal shores. Terrestrial vegetation is highly susceptible to salt water intrusion and will be affected with a high degree of variability as a consequence of differing coastal topographies, soil types and estuarine systems.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action or Natural variation,Short-Long term,Local-Regional-Global
Maintainenance of nursery habitats,Water,Sea level rise,A,"Sea level rises cause sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action or Natural variation,Short-Long term,Local-Regional-Global
Maintainenance of nursery habitats,Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.","Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action or Natural variation,Short-Long term,Local-Regional-Global
Maintainenance of nursery habitats,Species,Storms,A,"Storms cause strong winds and increased rainfall that can subject species to biogenic habitat changes, nest destruction, invasive species introduction and saltwater intrusion, negatively impacting species survival in localised event contexts. Storm frequency and intensity is predicted to continue in alignment with current climate change trends. Species that are highly susceptible are those that cannot shelter from wind effectively, that are liable to flooding, subject to habitat displacement (e.g. sand dune burrows), and migrating species.","Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action or Natural variation,Short-Long term,Local-Regional-Global
Maintainenance of nursery habitats,Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,"Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action or Natural variation,Short-Long term,Local-Regional-Global
Mass stabilisation and erosion control,Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Human action or Natural variation,Short-Long term,Global
Mass stabilisation and erosion control,Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Human action or Natural variation,Short-Long term,Global
Mass stabilisation and erosion control,Habitats,Fire,R,"In the short term, fires rapidly reduce habitat availability - patches that do remain are often isolated and undesirable. More intense fires change multiple aspects of vegetation structure and soil will be exposed leading to higher rates of erosion. However, fire is a widely used management regime, and restoration of vegetation post-fire can often lead to increases in habitat availability and quality, e.g. through reducing litter and dead vegetation. Fire plays a role in maintaining a diversity of habitats that support species.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Human action or Natural variation,Short-Long term,Global
Mass stabilisation and erosion control,Soils and sediments,Fire,A,"Although fire has been used as a tool to fertilize soils, they can also alter the surface and vegetation on soils, affecting erodibility and water availability and retention capacity. Fire also changes the biochemical, physical and biological properties of soils and affect nutrient cycling.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Human action or Natural variation,Short-Long term,Global
Mass stabilisation and erosion control,Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.",Increase slope length and/or steepness,"Slope increase causes increase in speed, power and depth of the runoff carrying more soil with it. Influence nature of the soil making it more susceptible to erosion.",Human action,Short-Mid-term,Local
Mass stabilisation and erosion control,Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ","Strong wave action by boats. Loss of sand through mining, development and coastal structures. Disturbance of vegetation.",Damage of coastal ecosystems such as mangrove forests and loss of dunes and natural beaches results in reduction of sediment retention and erosion control.,Human action,Short term,Local
Mass stabilisation and erosion control,Land geomorphology,Industrial or domestic activities,A,"Intentional activities (e.g. mining, construction, industry, waste generation, and construction of roads, canals, etc.) and unintentional activities (e.g. erosion related to habitat modification) result in significant changes to the earth's subsurface. Human impacts on geomorphological processes and structures are increasing in amount and strength through time.","Strong wave action by boats. Loss of sand through mining, development and coastal structures. Disturbance of vegetation.",Damage of coastal ecosystems such as mangrove forests and loss of dunes and natural beaches results in reduction of sediment retention and erosion control.,Human action,Short term,Local
Mass stabilisation and erosion control,Soils and sediments,Industrial or domestic activities,A,"Industrial activities and urbanisation are key sources of local soil contamination. Intensive activites such as inadequate waste disposal, and industry accidents can cause excessive contamination of soils. Urbanisation and industralisation also increases acid deposition in soils, changes in soil nutrients and soil water.","Strong wave action by boats. Loss of sand through mining, development and coastal structures. Disturbance of vegetation.",Damage of coastal ecosystems such as mangrove forests and loss of dunes and natural beaches results in reduction of sediment retention and erosion control.,Human action,Short term,Local
Mass stabilisation and erosion control,Habitats,Landslides,R,Habitats are increasingly subjected to changes as a result of geological changes induced by mass flows. Studies have shown increases in the frequency and intensity of the associated processes as a result of  human activities. Grassland and freshwater aquatic habitats are highly susceptible to the disruption in nutrient balances and water quality that mass flows cause.,"Earth movements, alteration of slope steepness, the speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Increase soil break up and vulnerability to water erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Land geomorphology,Landslides,A,"Erosion and landslides have significant impacts on hillslope morphology, river channels, valley floors, etc, and cause changes in structural elements such as elevation, relief, and slope. Susceptibility depends largely on length and angle of slope, soil and structural characteristics and strength of impact, thus there is variability in the response of the asset to this driver, but it is low. ","Earth movements, alteration of slope steepness, the speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Increase soil break up and vulnerability to water erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Soils and sediments,Landslides,A,"Geological changes have direct negative effects on fertility and water availability, among others. Soil susceptibility to geological changes is variable and depends on various physical, biotic and chemical properties, while the erodibility of soil is highly dependent on external factors such as vegetation.","Earth movements, alteration of slope steepness, the speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Increase soil break up and vulnerability to water erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Habitats,Ocean acidification,R,Acidification make oceans less suitable as habitats for many of the species that inhabit it. It notably negatively affects growth of corals and other species with calcium carbonate based exoskeletons. Global oceanic pH levels are predicted to become 170% more acidic by 2100.,Rising atmospheric CO2 lowers concentrations of seawater carbonate and reduces calcium carbonate production by corals.,Bleaching and calcification cause mortality and increased coral erosion rates.,Human action,Short-Mid-term,Global
Mass stabilisation and erosion control,Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural variation,Short term,Local
Mass stabilisation and erosion control,Soils and sediments,Storms,A,"Storms drive soil erosion by changes in rainfall and wind intensity, runoff and loss of structural stability. Runoff can cause loss of nutrients and fertility. Susceptibility depends on soil properties and driver intensity, leading to variability in impact. ",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural variation,Short term,Local
Mediation of sensory impacts,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Mediation of sensory impacts,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Mediation of sensory impacts,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes in intensity and extension.,"Type of land use determine types of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) and changes soil properties and water flow rates.",Human action,Short term,Local
Mediation of sensory impacts,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Mediation of sensory impacts,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Changes in intensity and extension.,"Type of land use determine types of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) and changes soil properties and water flow rates.",Human action,Short term,Local
Mediation of sensory impacts,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Mediation of sensory impacts,Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-Mid-term,Global
Mediation of sensory impacts,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-Mid-term,Global
Mediation of sensory impacts,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-Mid-term,Global
Mediation of sensory impacts,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-Mid-term,Global
Mediation of sensory impacts,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.","Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Human action or Natural variation,Short-Mid-term,Global
Mediation of sensory impacts,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Human action or Natural variation,Short-Mid-term,Global
Mediation of sensory impacts,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,"Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Human action or Natural variation,Short-Mid-term,Global
Mediation of sensory impacts,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.","Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Human action or Natural variation,Short-Mid-term,Global
Pest control,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Increase in non-native species,Changes in habitat characteristics facilitate non-native species which can outcompete native species creating more opportunities for pests.,Human action,Long term,Global
Pest control,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Increase in non-native species,Changes in habitat characteristics facilitate non-native species which can outcompete native species creating more opportunities for pests.,Human action,Long term,Global
Pest control,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Eradication of predator populations by use of insecticides, different crop rotation practices or removal by other means, e.g. hunting",Explosion in pest (prey) populations due to predator absence,Human action,Short term,Global
Pest control,Species,Overhunting,A,"Overhunting directly and indirectly impacts species abundance and diversity. It directly reduces the number of some species and can cause disruptions to ecosystems with cascading effects. Species distributions, abundance and dynamics are expected to worsen in the long term. Individual species will vary in their response to overhunting with some species more resilient to hunting than others depending on factors such as the size of the species, intensity of hunting, life history strategy, habitat size and location.","Eradication of predator populations by use of insecticides, different crop rotation practices or removal by other means, e.g. hunting",Explosion in pest (prey) populations due to predator absence,Human action,Short term,Global
Pest control,Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Control of predator populations,Food availability through a finite source of prey limits nutritional resource for predators and declines in prey will constrain predator population size too.,Natural variation,Short-Mid-term,Global
Pollination,Species,Diseases,R,"Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks.","A vast number of naturally-occurring fungal, bacterial, and viral pathogens, and pests affect pollinator species. Reduction in pollinator species’ survival.",Decreased pollination services,Natural variation,Short-Mid-term,Local
Pollination,Species,Droughts,A,Species are highly susceptible to droughts as most are dependent on water resources for survival. Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100.,Decrease in the amount of water available to disperse seeds,Decreased seed dispersal by water bodies,Natural variation,Short term,Local
Pollination,Water,Droughts,R,"Droughts directly reduce water availability and can affect water quality especially when they occur in areas of low water resources. The number and intensity of droughts has increased over the past decade, due to desertification, land degradation and population increases.",Decrease in the amount of water available to disperse seeds,Decreased seed dispersal by water bodies,Natural variation,Short term,Local
Pollination,Species,Flooding,A,"Floods directly impact species at both population and individual levels. Impacts are variable across species and the most susceptible species to flooding events are freshwater aquatic, sedentary, shallow rooted and ground burrowing species. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency.",Decreases in the number of plants along a water course. Physical alteration of water bodies.,"Reduced number of seed dispersing plants. Changes to the distance and direction of seed dispersal through water bodies, resulting in decreased seed dispersal in the case of long term flooding, or increased seed dispersal in the case of short term flooding.",Natural variation,Short term,Local
Pollination,Water,Flooding,R,"Floods cause damage to water systems, which can lead to impacts on water-based pollination. Changes to global climate will see increased flood events. Changes in vegetation cover, can aid flood risk, as can reducing soil compaction in upland areas, in addition to maintaining sustainable drainage systems, and other urban infrastructure. Impacts will vary by location due to different environmental conditions and infrastructure. Flood events are hard to predict and there is little information on their impacts on water systems. ",Decreases in the number of plants along a water course. Physical alteration of water bodies.,"Reduced number of seed dispersing plants. Changes to the distance and direction of seed dispersal through water bodies, resulting in decreased seed dispersal in the case of long term flooding, or increased seed dispersal in the case of short term flooding.",Natural variation,Short term,Local
Pollination,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Lower species mobility, thus decreased ability to disperse seeds. Altered wind and hydrological processes within a given area will affect how far seeds are dispersed.",Decreased seed dispersal by animals,Human action,Short-Mid-term,Global
Pollination,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Declines in pollinator populations due to reduced access to food and nesting resources (16.5 % of vertebrate pollinator species are threatened with global extinction; in Europe, 9% of bee and butterfly species are threatened, and populations of 37% of bees and 31% of butterflies are declining)",Decreased pollination services during the peak period of pollination (i.e. spring for most crops in temperate zones). 5-8 % of global crop production would be lost if pollination services ceased.,Human action,Short term,Regional
Pollination,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,"Lower species mobility, thus decreased ability to disperse seeds. Altered wind and hydrological processes within a given area will affect how far seeds are dispersed.",Decreased seed dispersal by animals,Human action,Short-Mid-term,Global
Pollination,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,"Declines in pollinator populations due to reduced access to food and nesting resources (16.5 % of vertebrate pollinator species are threatened with global extinction; in Europe, 9% of bee and butterfly species are threatened, and populations of 37% of bees and 31% of butterflies are declining)",Decreased pollination services during the peak period of pollination (i.e. spring for most crops in temperate zones). 5-8 % of global crop production would be lost if pollination services ceased.,Human action,Short term,Regional
Pollination,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Lower species mobility, thus decreased ability to disperse seeds. Altered wind and hydrological processes within a given area will affect how far seeds are dispersed.",Decreased seed dispersal by animals,Human action,Short-Mid-term,Global
Pollination,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Declines in pollinator populations due to reduced access to food and nesting resources (16.5 % of vertebrate pollinator species are threatened with global extinction; in Europe, 9% of bee and butterfly species are threatened, and populations of 37% of bees and 31% of butterflies are declining)",Decreased pollination services during the peak period of pollination (i.e. spring for most crops in temperate zones). 5-8 % of global crop production would be lost if pollination services ceased.,Human action,Short term,Regional
Pollination,Species,Human modification of genetic material,R,"The release of genetically modified organisms in the wild can cause changes in species composition. Despite extensive studies on the topic there is uncertainty in the impact on natural species, however, it is more widely believed that the technology will cause negative impacts on species population stability. Human genetic modification of commercial organisms has been increasing over the last two decades and is predicted to continue.","Reduction in pollinator species’ survival. Genetically modified herbicide tolerant crops are associated with a reduction in the number of surrounding weeds beneficial for pollinators, resulting in loss of pollinator habitat.",Decreased pollination services.,Human action,Short term,Local
Pollination,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Management of pollinators for commercial purposes, mass breeding, and trade have exacerbated the impacts of pathogens and pests on pollinator species. Further reductions in species survival.",Decreased pollination services,Human action,Short term,Local
Pollination,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Intensive agriculture (i.e. large homogenous fields with regular and intensive tillage, grazing, and/or mowing) and associated chemical use (e.g. pesticides such as neonicotinoids) has abroad range of lethal and sub-lethal effects on pollinator species. Pollinator habitat loss and disruption of daily activities. Higher rates of species mortality and reduced species survival. More specialised pollinator species (i.e. those that are highly dependent on a specific feature and are not adaptable) are more heavily affected by this impact.",Decreased pollination services. The magnitude of loss of pollination will depend on the presence of other more robust and adaptable species.,Human action,Short term,Local-Global
Pollination,Water,Intensive agriculture and aquaculture,R,"Intensive agriculture is an important source of water pollution. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. While the majority of aquaculture practices have had few adverse effects on ecosystems, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population.","Intensive agriculture (i.e. large homogenous fields with regular and intensive tillage, grazing, and/or mowing) and associated chemical use (e.g. pesticides such as neonicotinoids) has abroad range of lethal and sub-lethal effects on pollinator species. Pollinator habitat loss and disruption of daily activities. Higher rates of species mortality and reduced species survival. More specialised pollinator species (i.e. those that are highly dependent on a specific feature and are not adaptable) are more heavily affected by this impact.",Decreased pollination services. The magnitude of loss of pollination will depend on the presence of other more robust and adaptable species.,Human action,Short term,Local-Global
Pollination,Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Invasive species can deviate pollinators from the plants they normally pollinate (in the case of invasive plants) or can outcompete native pollinators (in the case of invasive pollinators),Decreased pollination services from native pollinators to native plants.,Human action,Short term,Local
Pollination,Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Reduced species survival and reduced ability of native species to disperse seeds. Reduced ability of water bodies to effectively disperse seeds.,"Decreased seed dispersal by native species, and possibly less efficient seed dispersal where invasive species replace native species. Reduced water mobility due to invasive plants, leading to reduction in seed dispersal distance by water bodies.",Human action,Short term,Local
